sd,present,degenerate,auc_N1,auc_rule,M_rule,lam_rule,auc_BF:1,M_BF:1,lam_BF:1,auc_BF:2,M_BF:2,lam_BF:2,auc_BF:3,M_BF:3,lam_BF:3,auc_BF:4,M_BF:4,lam_BF:4,auc_N1,M_N1,lam_N1
39,25,False,0.40615384615384614,0.38358974358974357,-0.022564102564102573,100.0,0.40615384615384614,0.0,100.0,0.40615384615384614,0.0,100.0,0.40615384615384614,0.0,100.0,0.40615384615384614,0.0,100.0,0.40615384615384614,0.0,
40,24,False,0.5723958333333333,0.5729166666666666,0.0005208333333333037,100.0,0.5723958333333333,0.0,100.0,0.5723958333333333,0.0,100.0,0.5723958333333333,0.0,100.0,0.5723958333333333,0.0,100.0,0.5723958333333333,0.0,
41,24,False,0.5078125,0.5145833333333333,0.0067708333333332815,100.0,0.5078125,0.0,100.0,0.5078125,0.0,100.0,0.5078125,0.0,100.0,0.5078125,0.0,100.0,0.5078125,0.0,
42,27,False,0.43543543543543545,0.45595595595595595,0.020520520520520502,100.0,0.43543543543543545,0.0,100.0,0.43543543543543545,0.0,100.0,0.43543543543543545,0.0,100.0,0.43543543543543545,0.0,100.0,0.43543543543543545,0.0,
43,25,False,0.5512820512820513,0.6046153846153847,0.053333333333333344,100.0,0.5512820512820513,0.0,100.0,0.5512820512820513,0.0,100.0,0.5512820512820513,0.0,100.0,0.5512820512820513,0.0,100.0,0.5512820512820513,0.0,
44,21,False,0.46179401993355484,0.46677740863787376,0.004983388704318914,100.0,0.46179401993355484,0.0,100.0,0.46179401993355484,0.0,100.0,0.46179401993355484,0.0,100.0,0.46179401993355484,0.0,100.0,0.46179401993355484,0.0,
45,26,False,0.5030364372469636,0.5172064777327935,0.014170040485829927,100.0,0.5030364372469636,0.0,100.0,0.5030364372469636,0.0,100.0,0.5030364372469636,0.0,100.0,0.5030364372469636,0.0,100.0,0.5030364372469636,0.0,
46,27,False,0.4774774774774775,0.4854854854854855,0.008008008008007994,100.0,0.4774774774774775,0.0,100.0,0.4774774774774775,0.0,100.0,0.4774774774774775,0.0,100.0,0.4774774774774775,0.0,100.0,0.4774774774774775,0.0,
47,29,False,0.5310344827586206,0.532512315270936,0.001477832512315369,100.0,0.5310344827586206,0.0,100.0,0.5310344827586206,0.0,100.0,0.5310344827586206,0.0,100.0,0.5310344827586206,0.0,100.0,0.5310344827586206,0.0,
48,28,False,0.3993055555555556,0.42410714285714285,0.02480158730158727,100.0,0.3993055555555556,0.0,100.0,0.3993055555555556,0.0,100.0,0.3993055555555556,0.0,100.0,0.3993055555555556,0.0,100.0,0.3993055555555556,0.0,
49,29,False,0.5221674876847291,0.5201970443349754,-0.0019704433497537144,100.0,0.5221674876847291,0.0,100.0,0.5221674876847291,0.0,100.0,0.5221674876847291,0.0,100.0,0.5221674876847291,0.0,100.0,0.5221674876847291,0.0,
50,24,False,0.5015625,0.49947916666666664,-0.0020833333333333814,100.0,0.5015625,0.0,100.0,0.5015625,0.0,100.0,0.5015625,0.0,100.0,0.5015625,0.0,100.0,0.5015625,0.0,
51,25,False,0.4723076923076923,0.4882051282051282,0.015897435897435863,100.0,0.4723076923076923,0.0,100.0,0.4723076923076923,0.0,100.0,0.4723076923076923,0.0,100.0,0.4723076923076923,0.0,100.0,0.4723076923076923,0.0,
52,29,False,0.470935960591133,0.49310344827586206,0.022167487684729037,100.0,0.470935960591133,0.0,100.0,0.470935960591133,0.0,100.0,0.470935960591133,0.0,100.0,0.470935960591133,0.0,100.0,0.470935960591133,0.0,
53,23,False,0.6033934252386002,0.6792152704135737,0.07582184517497348,100.0,0.6033934252386002,0.0,100.0,0.6033934252386002,0.0,100.0,0.6033934252386002,0.0,100.0,0.6033934252386002,0.0,100.0,0.6033934252386002,0.0,
54,22,False,0.5010822510822511,0.4902597402597403,-0.010822510822510845,100.0,0.5010822510822511,0.0,100.0,0.5010822510822511,0.0,100.0,0.5010822510822511,0.0,100.0,0.5010822510822511,0.0,100.0,0.5010822510822511,0.0,
55,24,False,0.45260416666666664,0.45625,0.003645833333333348,100.0,0.45260416666666664,0.0,100.0,0.45260416666666664,0.0,100.0,0.45260416666666664,0.0,100.0,0.45260416666666664,0.0,100.0,0.45260416666666664,0.0,
56,32,False,0.5419921875,0.5341796875,-0.0078125,100.0,0.5419921875,0.0,100.0,0.5419921875,0.0,100.0,0.5419921875,0.0,100.0,0.5419921875,0.0,100.0,0.5419921875,0.0,
57,26,False,0.49696356275303644,0.506578947368421,0.009615384615384581,100.0,0.49696356275303644,0.0,100.0,0.49696356275303644,0.0,100.0,0.49696356275303644,0.0,100.0,0.49696356275303644,0.0,100.0,0.49696356275303644,0.0,
58,18,False,0.35507246376811596,0.3617149758454106,0.00664251207729466,100.0,0.35507246376811596,0.0,100.0,0.35507246376811596,0.0,100.0,0.35507246376811596,0.0,100.0,0.35507246376811596,0.0,100.0,0.35507246376811596,0.0,
59,23,False,0.49204665959703076,0.49151643690349944,-0.0005302226935313126,100.0,0.49204665959703076,0.0,100.0,0.49204665959703076,0.0,100.0,0.49204665959703076,0.0,100.0,0.49204665959703076,0.0,100.0,0.49204665959703076,0.0,
60,23,False,0.5095440084835631,0.49204665959703076,-0.017497348886532316,100.0,0.5095440084835631,0.0,100.0,0.5095440084835631,0.0,100.0,0.5095440084835631,0.0,100.0,0.5095440084835631,0.0,100.0,0.5095440084835631,0.0,
