{'family': 'No', 'seed': 90124, 'r': 3, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 0.4990234375, 'auc_gpu': 0.4990234375, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 5.537444353103638, 'secs_gpu': 4.7017822265625, 'auc_diff': 0.0}
{'family': 'No', 'seed': 90124, 'r': 4, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 0.50390625, 'auc_gpu': 0.50390625, 'max_abs_p_diff': 1.1102230246251565e-16, 'label_mismatches': 0, 'secs_cpu': 5.6009202003479, 'secs_gpu': 13.41502833366394, 'auc_diff': 0.0}
{'family': 'W', 'seed': 90130, 'r': 1, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 0.515625, 'auc_gpu': 0.515625, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 2.0626637935638428, 'secs_gpu': 1.869999647140503, 'auc_diff': 0.0}
{'family': 'W', 'seed': 90130, 'r': 2, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 0.7451171875, 'auc_gpu': 0.7451171875, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 4.183173894882202, 'secs_gpu': 17.220792770385742, 'auc_diff': 0.0}
{'family': 'W', 'seed': 90130, 'r': 3, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 0.6845703125, 'auc_gpu': 0.6845703125, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 4.55250358581543, 'secs_gpu': 4.413630485534668, 'auc_diff': 0.0}
{'family': 'W', 'seed': 90130, 'r': 4, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 0.689453125, 'auc_gpu': 0.689453125, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 8.685484886169434, 'secs_gpu': 20.88973093032837, 'auc_diff': 0.0}
{'family': 'W', 'seed': 90131, 'r': 1, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 0.53515625, 'auc_gpu': 0.53515625, 'max_abs_p_diff': 1.1102230246251565e-16, 'label_mismatches': 0, 'secs_cpu': 1.8476665019989014, 'secs_gpu': 5.8775599002838135, 'auc_diff': 0.0}
{'family': 'W', 'seed': 90131, 'r': 2, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 0.7294921875, 'auc_gpu': 0.7294921875, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 3.778313159942627, 'secs_gpu': 1.903066635131836, 'auc_diff': 0.0}
{'family': 'W', 'seed': 90131, 'r': 3, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 0.6953125, 'auc_gpu': 0.6953125, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 5.54375433921814, 'secs_gpu': 2.0215744972229004, 'auc_diff': 0.0}
{'family': 'W', 'seed': 90131, 'r': 4, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 0.677734375, 'auc_gpu': 0.677734375, 'max_abs_p_diff': 3.3306690738754696e-16, 'label_mismatches': 0, 'secs_cpu': 7.346835613250732, 'secs_gpu': 2.288254976272583, 'auc_diff': 0.0}
