t_rel,util,mem_mib
465.57,98,15581
466.08,99,15581
466.58,99,15581
467.09,99,15581
467.60,99,15581
468.10,99,15581
468.60,96,15581
469.11,97,15581
469.63,99,15581
470.14,97,15581
470.64,99,15581
471.15,97,15581
471.65,98,15581
472.16,98,15581
472.67,99,15581
473.18,99,15581
473.69,100,15581
474.21,100,15581
474.72,99,15581
475.23,100,15581
475.74,99,15581
476.25,99,15581
476.77,98,15581
477.28,99,15581
477.78,97,15581
478.29,97,15581
478.81,99,15581
479.32,98,15581
479.82,97,15581
480.33,99,15581
480.84,98,15581
481.35,99,15581
481.87,98,15581
482.38,97,15581
482.88,99,15581
483.39,99,15581
483.91,98,15581
484.42,99,15581
484.92,99,15581
485.43,100,15581
485.94,99,15581
486.45,99,15581
486.96,100,15581
487.46,99,15586
487.97,99,15586
488.49,99,15586
488.99,99,15586
489.50,99,15586
490.00,99,15586
490.51,99,15586
491.01,99,15586
491.53,97,15585
492.03,98,15585
492.54,98,15585
493.05,98,15581
493.56,96,15581
494.08,98,15581
494.58,97,15581
495.09,97,15581
495.59,97,15581
496.10,100,15581
496.61,99,15581
497.12,100,15581
497.63,99,15581
498.14,99,15581
498.65,99,15581
499.16,99,15581
499.67,98,15581
500.17,99,15581
500.68,99,15581
501.19,97,15581
501.70,99,15581
502.20,98,15581
502.71,98,15581
503.23,98,15581
503.74,98,15581
504.25,96,15581
504.76,99,15581
505.26,99,15581
505.77,99,15581
506.27,98,15581
506.78,100,15581
507.29,98,15581
507.80,100,15581
508.32,100,15581
508.83,99,15581
509.34,98,15581
509.85,99,15581
510.36,98,15581
510.86,99,15581
511.37,97,15581
511.87,98,15581
512.38,98,15581
512.90,98,15581
513.41,99,15581
513.92,98,15581
514.43,99,15581
514.94,98,15581
515.45,99,15581
515.96,99,15581
516.47,98,15581
516.97,99,15581
517.48,97,15581
517.99,99,15581
518.50,100,15581
519.02,99,15581
519.53,99,15581
520.04,99,15581
520.55,99,15581
521.05,99,15581
521.57,98,15581
522.07,99,15581
522.58,99,15581
523.08,98,15581
523.59,98,15581
524.09,99,15581
524.61,99,15581
525.11,98,15581
525.62,98,15581
526.13,99,15581
526.64,99,15581
527.14,97,15581
527.66,98,15581
528.16,97,15581
528.68,100,15581
529.19,99,15581
529.70,99,15581
530.22,100,15581
530.73,100,15581
531.23,99,15581
531.74,99,15581
532.24,99,15581
532.75,98,15581
533.26,99,15581
533.78,99,15581
534.28,98,15581
534.79,98,15581
535.29,97,15581
535.80,97,15581
536.30,97,15581
536.82,98,15581
537.32,99,15581
537.83,99,15581
538.34,99,15581
538.85,99,15581
539.37,100,15581
539.88,97,15581
540.39,100,15581
540.90,100,15581
541.41,98,15581
541.92,98,15581
542.43,98,15581
542.94,99,15581
543.46,99,15581
543.97,99,15581
544.47,99,15581
544.98,99,15581
545.50,98,15581
546.00,99,15581
546.50,99,15581
547.01,98,15586
547.51,99,15586
548.02,99,15586
548.52,99,15586
549.03,99,15586
549.54,97,15586
550.05,98,15586
550.56,99,15586
551.07,100,15585
551.58,98,15585
552.09,99,15585
552.60,99,15581
553.11,99,15581
553.61,99,15581
554.12,99,15581
554.64,99,15581
555.15,99,15581
555.65,99,15581
556.16,99,15581
556.66,99,15581
557.17,99,15581
557.68,97,15581
558.19,98,15581
558.69,99,15581
559.20,98,15581
559.71,98,15581
560.23,97,15581
560.74,99,15581
561.25,100,15581
561.75,99,15581
562.26,100,15581
562.78,99,15581
563.29,99,15581
563.80,99,15581
564.31,98,15581
564.81,99,15581
565.32,98,15581
565.83,97,15581
566.33,97,15581
566.83,98,15581
567.34,97,15581
567.84,99,15581
568.35,97,15581
568.86,99,15581
569.37,99,15581
569.88,98,15581
570.39,99,15581
570.90,99,15581
571.41,99,15581
571.93,99,15581
572.44,100,15581
572.94,100,15581
573.45,98,15581
573.96,98,15581
574.47,100,15581
574.97,99,15581
575.49,99,15581
576.00,97,15581
576.50,97,15581
577.01,98,15581
577.53,97,15581
578.04,99,15581
578.55,99,15581
579.06,98,15581
579.56,99,15581
580.08,98,15581
580.58,99,15581
581.09,99,15581
581.60,98,15581
582.11,98,15581
582.62,98,15581
583.13,99,15581
583.65,100,15581
584.16,97,15581
584.66,100,15581
585.17,100,15581
585.67,99,15581
586.18,99,15581
586.70,98,15581
587.21,99,15581
587.71,99,15581
588.22,99,15581
588.74,99,15581
589.25,98,15581
589.75,97,15581
590.26,98,15581
590.77,97,15581
591.28,99,15581
591.80,98,15581
592.31,97,15581
592.82,98,15581
593.33,99,15581
593.83,98,15581
594.34,100,15581
594.85,100,15581
595.36,98,15581
595.86,100,15581
596.37,100,15581
596.88,99,15581
597.39,99,15581
597.89,99,15581
598.40,99,15581
598.90,98,15581
599.41,97,15581
599.92,98,15581
600.43,97,15581
600.93,99,15581
601.44,98,15581
601.96,98,15581
602.47,99,15581
602.98,98,15581
603.49,99,15581
604.00,99,15581
604.51,98,15581
605.02,99,15581
605.53,98,15581
606.05,99,15581
606.56,100,15581
607.06,99,15581
607.57,100,15586
608.09,100,15586
608.60,99,15586
609.11,99,15586
609.61,98,15586
610.13,98,15586
610.64,99,15586
611.14,99,15586
611.65,98,15586
612.17,98,15585
612.68,99,15585
613.19,98,15585
613.70,99,15581
614.21,97,15581
614.74,98,15581
615.25,98,15589
615.76,98,15589
616.27,96,15588
616.78,100,15588
617.30,99,15588
617.81,100,15588
618.31,98,15588
618.83,99,15588
619.34,99,15584
619.85,98,15593
620.36,99,15595
620.87,99,15598
621.39,98,15602
621.90,98,15602
622.41,98,15602
622.92,97,15589
623.43,99,15589
623.95,99,15589
624.45,97,15589
624.96,99,15589
625.47,98,15589
625.99,98,15589
626.50,99,15589
627.00,99,15584
627.51,97,15584
628.02,100,15584
628.53,100,15589
629.04,98,15589
629.55,99,15589
630.05,100,15589
630.56,98,15589
631.07,98,15589
631.58,99,15589
632.10,99,15589
632.61,97,15584
633.11,99,15584
633.62,98,15584
634.14,97,15581
634.65,99,15581
635.16,99,15581
635.67,99,15581
636.19,99,15581
636.70,99,15581
637.20,99,15581
637.71,98,15581
638.22,99,15581
638.73,98,15581
639.25,98,15581
639.76,100,15581
640.26,98,15581
640.77,100,15581
641.27,100,15581
641.78,99,15581
642.29,99,15581
642.80,99,15581
643.31,98,15581
643.82,99,15581
644.33,99,15581
644.84,98,15581
645.36,99,15581
645.87,99,15581
646.38,97,15581
646.89,99,15581
647.39,99,15581
647.90,97,15581
648.40,99,15581
648.92,98,15581
649.42,99,15581
649.93,99,15581
650.43,99,15581
650.94,100,15581
651.44,98,15581
651.95,100,15581
652.45,100,15581
652.96,99,15581
653.48,99,15581
653.99,99,15581
654.50,98,15581
655.01,97,15581
655.52,98,15581
656.03,99,15581
