# source=flyvis 1.2.0 : connectome/fib25-fib19_v2.2.json; json_sha256=bfbb0766251ff09e22723d0ebbf7b14793e70b3ae8ad0eea64eac9d28223351a; compiled=FLYVIS_ROOT_DIR/connectome/ConnectomeFromAvgFilters_0000 (extent 15, n_syn_fill 1); script=results/genome/bank/extract_bank.py sha256=eea3815e8b0b79290d77b22dc3a5085bd8f3ee8ed4299ea1d449bc02b475f4c6; see bank.meta.json
pair_birth_id,src,tar,du,dv,n_syn,n_syn_json,sign,provenance,json_index,json_offset_order
60fdecfa1c51,L5,Tm3,0,2,1.6666666269302368,1.6666666666666667,1,in_json,111,7
60fdecfa1c51,L5,Tm3,1,-1,1.2307692766189575,1.2307692307692308,1,in_json,111,8
60fdecfa1c51,L5,Tm3,0,0,7.785714149475098,7.785714285714286,1,in_json,111,9
98f8ede7c521,L5,Tm20,-1,1,1.0,1,1,in_json,112,0
98f8ede7c521,L5,Tm20,0,0,1.8181818723678589,1.8181818181818181,1,in_json,112,1
eea3d78c605b,L5,TmY3,-1,0,6.666666507720947,6.666666666666667,1,in_json,113,0
eea3d78c605b,L5,TmY3,0,1,4.599999904632568,4.6,1,in_json,113,1
eea3d78c605b,L5,TmY3,-1,1,7.400000095367432,7.4,1,in_json,113,2
eea3d78c605b,L5,TmY3,-1,2,1.0,1,1,in_json,113,3
eea3d78c605b,L5,TmY3,1,0,5.25,5.25,1,in_json,113,4
eea3d78c605b,L5,TmY3,0,-1,2.875,2.875,1,in_json,113,5
eea3d78c605b,L5,TmY3,1,-1,3.799999952316284,3.8,1,in_json,113,6
eea3d78c605b,L5,TmY3,0,0,10.857142448425293,10.857142857142858,1,in_json,113,7
258895532845,L5,TmY13,-1,0,1.6666666269302368,1.6666666666666667,1,in_json,114,0
d6bf01ec187b,L5,TmY14,0,1,1.2000000476837158,1.2,1,in_json,115,0
d6bf01ec187b,L5,TmY14,-1,1,2.3333332538604736,2.3333333333333335,1,in_json,115,1
d6bf01ec187b,L5,TmY14,0,0,2.799999952316284,2.8,1,in_json,115,2
40b716770207,L5,TmY18,0,1,1.5714285373687744,1.5714285714285714,1,in_json,116,0
40b716770207,L5,TmY18,-1,1,1.1666666269302368,1.1666666666666667,1,in_json,116,1
16031c360590,Lawf1,Lawf1,1,0,1.0,1,1,dropped,117,0
f542bbaab113,Lawf1,Tm3,1,0,1.100000023841858,1.1,1,in_json,118,0
f542bbaab113,Lawf1,Tm3,0,2,1.3333333730697632,1.3333333333333333,1,in_json,118,1
3c6174ab5da5,Lawf2,L3,-3,-1,1.9090908765792847,1.9090909090909092,1,in_json,119,0
3c6174ab5da5,Lawf2,L3,-2,-1,1.9090908765792847,1.9090909090909092,1,in_json,119,1
3c6174ab5da5,Lawf2,L3,-1,-1,1.9090908765792847,1.9090909090909092,1,in_json,119,2
