# source=flyvis 1.2.0 : connectome/fib25-fib19_v2.2.json; json_sha256=bfbb0766251ff09e22723d0ebbf7b14793e70b3ae8ad0eea64eac9d28223351a; compiled=FLYVIS_ROOT_DIR/connectome/ConnectomeFromAvgFilters_0000 (extent 15, n_syn_fill 1); script=results/genome/bank/extract_bank.py sha256=eea3815e8b0b79290d77b22dc3a5085bd8f3ee8ed4299ea1d449bc02b475f4c6; see bank.meta.json; birth_id=sha256('cs-birth-v1|type|NAME' or 'cs-birth-v1|pair|SRC->TAR')[:12]; next_display_no=671; rule=REGISTRY.md
birth_id,display_no,kind,birth_key,generation_born,parent_ids,src_birth_id,tar_birth_id,expressed_in_compiled_bank,content_sha256
94abb6aadd00,133,pair,pair:L2>L4,0,,36f25ce16c8f,7c19534e0d84,True,c3f84d845c7b02c4653ff8ab05f216d42eb117ead2f2c7a45f5651c3b1c22d38
0ede4ef8f3e2,134,pair,pair:L2>L5,0,,36f25ce16c8f,cc98a8db805e,True,e3e6c43826be27724df532dbcf07e3ed27a5b46e5a8d9d055f354074bff75c03
6037ceadfb3d,135,pair,pair:L2>Lawf2,0,,36f25ce16c8f,3a1e8d7d01c3,True,958965e68d061f4081fcd3d2c9d02df6a46eb0ce7c83c6ff7713205a098ff5c0
cc3a32d5b344,136,pair,pair:L2>Mi1,0,,36f25ce16c8f,af1ee12c7a13,True,b99438b98985c6e7d4100375d29c3670161184739c1e35c2853d6d3ff9b266cc
cde00b731b32,137,pair,pair:L2>Mi4,0,,36f25ce16c8f,7c9f2d10b0f7,True,3fc0c8e8a4f585e1a201d0aaa6782ca7c8ba8260c621cbabafb62c9ad40be49f
2d74ecb57fd9,138,pair,pair:L2>Mi9,0,,36f25ce16c8f,760f78ba3287,True,b1fe0c747ec0afc9c825de2c5a46149ec4c3db966aeac4b58e0054b9cd36ff44
c36783088642,139,pair,pair:L2>R1,0,,36f25ce16c8f,9654b247b494,True,a62896c4982a44c4d31a12109f1e68e1ff6d58c7abdef1d41bb11e764b75b591
97e3ab94a0e7,140,pair,pair:L2>R2,0,,36f25ce16c8f,b075082bb026,True,58cc95c7ddac18bdd8c8ef20940efb141294471edccff1de7b1fd2ba2088965f
76b49fd46942,141,pair,pair:L2>T1,0,,36f25ce16c8f,7fccce4faa2f,True,a4adc6cd9a27b3c9747a4d9954eac73a1a4676c022969cf9a873c7573e7227eb
fdf6fad6a712,142,pair,pair:L2>Tm1,0,,36f25ce16c8f,6b080cbcddcf,True,3563da7ffbc81697aab5d59656c0e210e958b55fd5817e7f814bc749d8530249
