# source=flyvis 1.2.0 : connectome/fib25-fib19_v2.2.json; json_sha256=bfbb0766251ff09e22723d0ebbf7b14793e70b3ae8ad0eea64eac9d28223351a; compiled=FLYVIS_ROOT_DIR/connectome/ConnectomeFromAvgFilters_0000 (extent 15, n_syn_fill 1); script=results/genome/bank/extract_bank.py sha256=fb2303d241ed0966033b63a3d9f9b64ec1e47cea5376932360b8cfb96ae93943; see bank.meta.json
json_index,birth_id,src,tar,alpha,alpha_fixed,alpha_references,lambda_mult,edge_type,n_offsets_json,n_synapses_json_total,instantiated,n_offsets_compiled,n_offsets_hull_filled,n_offsets_dropped,n_synapses_compiled_total,note
180,124,CT1(M10),T4d,-1,True,NernPC2018,2.2583120686202522,chem,7,18.208333333333332,True,7,0,0,18.208333373069763,
181,206,Mi1,L1,1,False,NernPC2018,63.99346590870203,chem,1,26.285714285714285,True,1,0,0,26.285715103149414,
182,207,Mi1,L5,1,False,NernPC2018,3.17380830836657,chem,1,4.923076923076923,True,1,0,0,4.92307710647583,
183,203,Mi1,C2,1,False,NernPC2018,1.516354909724397,chem,13,29.635858585858585,True,15,2,0,31.63585865497589,
184,204,Mi1,C3,1,False,NernPC2018,2.9804040662778104,chem,1,8.96,True,1,0,0,8.960000038146973,
185,205,Mi1,CT1(M10),1,False,NernPC2018,5.301450970160609,chem,1,4.319148936170213,True,1,0,0,4.319149017333984,
186,213,Mi1,Mi2,1,False,NernPC2018,2.0080914000927574,chem,6,21.633333333333333,True,6,0,0,21.633333683013916,
187,214,Mi1,Mi4,1,False,NernPC2018,3.4291782511051383,chem,1,11.833333333333334,True,1,0,0,11.833333015441895,
188,215,Mi1,Mi9,1,False,NernPC2018,6.191581498740182,chem,1,10.56,True,1,0,0,10.5600004196167,
189,208,Mi1,Mi10,1,False,NernPC2018,6.1254146587711205,chem,2,2.0,True,2,0,0,2.0,
190,209,Mi1,Mi12,1,False,NernPC2018,3.021873465133091,chem,1,1.125,True,1,0,0,1.125,
191,210,Mi1,Mi13,1,False,NernPC2018,2.8378981378674952,chem,1,1.0,True,1,0,0,1.0,
192,211,Mi1,Mi14,1,False,NernPC2018,2.357022603955159,chem,2,4.0,True,2,0,0,3.9999998807907104,
