bank,seed,kind,existence,offset,counts,sign,existence_fold0,existence_fold1,existence_fold2,existence_fold3,existence_fold4,existence_fold5,existence_fold6,existence_fold7,existence_fold8,existence_fold9
shuffle42,42,shuffle,0.36244192256844954,0.3976657951020418,1.0463916204444703,0.5587682479150196,0.3603717872975601,0.3115805830516075,0.39475080345096,0.39329808625915236,0.3496500266069372,0.3352526560090257,0.36992553983539056,0.4201760248527943,0.37868295133241614,0.3107307669886518
shuffle43,43,shuffle,0.36272844123875586,0.39887164255736074,1.0339321166609055,0.5823014179853909,0.334296156341415,0.4007428953560027,0.3648917141442134,0.3342950941459391,0.33390105394369496,0.3964523418469872,0.3556482584831742,0.37670416139645474,0.3588478460702001,0.37150489065947767
shuffle44,44,shuffle,0.36529907457281896,0.4205629007623755,1.0221355246121697,0.58727165649507,0.3141076799552178,0.343383376725305,0.42576031665955155,0.37844470354465487,0.3785679059888849,0.35276959066913655,0.378575045441282,0.38270166018875185,0.3474378204551262,0.35124264610027844
shuffle45,45,shuffle,0.3656418307981909,0.3994248024738951,1.028945617205869,0.5884866991668463,0.30465688402477975,0.3836354989582107,0.366953022793586,0.38456623441307364,0.3664378270925473,0.37355629047408145,0.3794601076304275,0.3709238717199977,0.37110361033806477,0.35512496053714
shuffle46,46,shuffle,0.36156795477903136,0.4142893370295934,1.0395318722647577,0.5720737263065169,0.29158582560632235,0.41968571447077563,0.35555382573394667,0.3600283999258354,0.3656546176144547,0.30305799803544026,0.41910487528103957,0.3557754475189723,0.3499380902180244,0.39529475338550246
shuffle47,47,shuffle,0.36213728529258205,0.40290803268919434,1.0397585904408455,0.5553062042669863,0.31764726048921343,0.40481776115815704,0.351915864023618,0.3586876659801912,0.3958059692409481,0.32855195031713713,0.3800912498186327,0.35041756222014125,0.34317849283940327,0.39025907683837857
shuffle48,48,shuffle,0.3651559845688649,0.3964477283945219,1.0406465947240688,0.5987413949062556,0.32948371350624284,0.3393752721697743,0.330099110672876,0.40468788177498455,0.37793993810312143,0.43153994262513,0.3725006574966523,0.31645532419877037,0.3668882686591376,0.38258973648195904
shuffle49,49,shuffle,0.36206046193643127,0.4077142858431178,1.040556721336595,0.589336066472677,0.37054238423510905,0.3533740866317807,0.3713429839365737,0.3207967157451328,0.331754961273324,0.3821585056408385,0.3393522829342802,0.3870301136511812,0.3764831672560844,0.3877694180600082
shuffle50,50,shuffle,0.3643185042059383,0.410681155237082,1.034700703038008,0.6104585136806173,0.4154855192058981,0.38653245795232666,0.34960798841409524,0.35401666245542823,0.37319140616226126,0.3108522028094331,0.3844545600403917,0.34538042300968097,0.3343842799866558,0.3892795420232121
shuffle51,51,shuffle,0.36295109268711706,0.4117461027848268,1.0315625002128208,0.5879899316971102,0.4166718044722644,0.37827667154382183,0.38230240086641043,0.3410374191229321,0.3505259343894814,0.315477806064358,0.33601290941388884,0.35726363823759855,0.37648063613561894,0.3754617066247965
shuffle52,52,shuffle,0.3635430710995299,0.38397718763405475,1.0456100100023307,0.556383869127524,0.3676410014366727,0.4036820460629006,0.31717645473601735,0.38021507410443517,0.3220787676349624,0.39490490932403643,0.3442188576847712,0.3704684385834621,0.3590224450117225,0.3760227164163182
shuffle53,53,shuffle,0.36029034803792004,0.401322303187421,1.0421827398954577,0.5772478892538682,0.3243568428047231,0.40128680944730055,0.3246226491699914,0.33620840192692325,0.3381281981647886,0.35375878300070196,0.3419415109362524,0.3738355165710187,0.43284211382199683,0.3759226545355037
shuffle54,54,shuffle,0.3626803062369451,0.4142797451782899,1.0302495948488952,0.5897370244546676,0.409818861334444,0.35230988354322856,0.37547639278664974,0.39340625101450444,0.388154203587509,0.3603576479461682,0.3102869001908873,0.30525797498502344,0.40185568538447664,0.3298792615965596
shuffle55,55,shuffle,0.36116395737372187,0.39812336705758244,1.027896793190938,0.6119094035560237,0.39390866390799145,0.31142191397012997,0.32887382794134196,0.37951937273655684,0.32740677565910237,0.33534990401155346,0.3708613735841238,0.34170425267274773,0.4423051876869584,0.38028830156671223
shuffle56,56,shuffle,0.3618248085452035,0.41887233399452556,1.0245873054879802,0.5757795998875933,0.35365131477662587,0.3649673852574999,0.36985648730514187,0.36391287588432475,0.3653633634186462,0.35411790283097494,0.3657870922608496,0.3734156614127857,0.3408006652186316,0.36637533708655456
shuffle57,57,shuffle,0.3599555937815582,0.40547362801536374,1.0412822094198408,0.5721886064892887,0.4043612113931536,0.38158878137657065,0.3820025356866924,0.3418112572300003,0.31131256515798106,0.35581886564384063,0.346467470363991,0.3662915796830315,0.39331377690011377,0.3165878943802076
shuffle58,58,shuffle,0.3633831289040727,0.39463714517487175,1.047747640634706,0.5676078133627173,0.39253823782368025,0.35581478341572875,0.38446357414052934,0.3205638844735811,0.3484333350021409,0.3957853446732868,0.323717548534474,0.3428491416424765,0.40798512867028597,0.36168031066454365
shuffle59,59,shuffle,0.3613627105128138,0.3953916877948521,1.0300702382502827,0.596651582125207,0.33527374043231206,0.36961756413906366,0.3602126835244087,0.39395046758826985,0.36533179877114613,0.37008447274443773,0.37374780528995716,0.3619618087555637,0.33929273233669316,0.3441540315462865
shuffle60,60,shuffle,0.36233135533385913,0.42209651963817657,1.0221825605008106,0.5846832417313035,0.33266036793769216,0.3739347847469119,0.40966923852836656,0.35104161922884786,0.37358410012452853,0.326052423670843,0.3690760356295429,0.3576577572742908,0.3871394035333393,0.342497822664229
shuffle61,61,shuffle,0.36216642636552243,0.4177260506653956,1.0382703616284872,0.5730705287317408,0.3407420765112455,0.4259432844185164,0.36538335860837284,0.3700826420167856,0.35931990241025236,0.33603512070562924,0.32799066028476886,0.3740342781124608,0.3597449608703053,0.3623879797168876
shuffle62,62,shuffle,0.3619863422921218,0.3912820306068266,1.03831712612286,0.586410005636644,0.358858093859559,0.3806544761057108,0.3235343358622374,0.33185909024615823,0.35987616203432676,0.3158578715407763,0.3867423313977416,0.3953337047534565,0.3953055703425637,0.3718417867786874
shuffle63,63,shuffle,0.36238415180000133,0.3952277460066929,1.033020523501205,0.6117324826600126,0.34075162975478723,0.37681254163887384,0.3651379777779255,0.37764518172657774,0.40342944019939186,0.34233246846113347,0.38507258875805433,0.3513752402992532,0.3537774096723962,0.3275070397116199
shuffle64,64,shuffle,0.36457681708360606,0.3942750583885627,1.0339748032102762,0.5823861999380785,0.39450778852437673,0.3689736482508997,0.33694459686720263,0.3426812693461759,0.35538646646220406,0.3794992266899588,0.38792548892385803,0.3453607811174334,0.33657766602229905,0.39791123863165245
shuffle65,65,shuffle,0.36479065626970175,0.3892139925572542,1.0454403801071983,0.5851150224191758,0.36524749399322937,0.38680245028425,0.3682772124160825,0.378722870347728,0.3481819879372578,0.33597096626585504,0.3566237684494786,0.41224754288631,0.3521725647052382,0.3436597054115885
shuffle66,66,shuffle,0.3623228482030727,0.4020395111765677,1.0366254048564538,0.5662843874668491,0.33922599558522915,0.34368670703076315,0.36618598341383124,0.3959031100961869,0.3516198227786646,0.3379946017220783,0.36721519087837623,0.41773724531709616,0.3795208360239794,0.32413898918452183
