path,run_a,run_b,variant,alpha,aggregate_hook,aggregate_per_item_mean,hook_minus_per_item_mean,bn_batches,wall_s,item_sequence_02_ambush_2_split_00,item_sequence_02_ambush_2_split_01,item_sequence_02_ambush_2_split_02,item_sequence_07_bamboo_1_split_00,item_sequence_07_bamboo_1_split_01,item_sequence_07_bamboo_1_split_02,item_sequence_09_bandage_1_split_00,item_sequence_09_bandage_1_split_01,item_sequence_09_bandage_1_split_02,item_sequence_12_cave_4_split_00,item_sequence_13_market_2_split_00,item_sequence_13_market_2_split_01,item_sequence_13_market_2_split_02,item_sequence_16_mountain_1_split_00,item_sequence_16_mountain_1_split_01,item_sequence_16_mountain_1_split_02
extra_0prime_to_1,900,001,2,0.2,1221.8492431640625,1221.8492398262024,3.337860107421875e-06,13,0.653,4189.65283203125,4501.3525390625,4906.7939453125,116.10828399658203,108.37983703613281,136.9866485595703,768.703125,782.6988525390625,624.5236206054688,1201.2608642578125,767.9884643554688,496.1463928222656,231.4390411376953,267.5064392089844,202.17373657226562,247.8732147216797
extra_0prime_to_1,900,001,2,0.25,1217.7598085403442,1217.75981092453,-2.384185791015625e-06,13,0.635,4194.84228515625,4505.3798828125,4911.2900390625,121.78707122802734,114.66546630859375,142.64303588867188,765.3155517578125,778.6036987304688,625.35546875,1201.304443359375,771.0490112304688,498.3511657714844,233.60516357421875,220.23468017578125,165.1947479248047,234.53526306152344
extra_0prime_to_1,900,001,2,0.3,1217.410056591034,1217.4100489616394,7.62939453125e-06,13,0.627,4199.36572265625,4508.443359375,4913.90673828125,127.42892456054688,120.15094757080078,147.70179748535156,762.0580444335938,775.4927978515625,625.6148071289062,1200.660400390625,773.8521728515625,500.4937438964844,235.74057006835938,205.4508514404297,153.12074279785156,229.07916259765625
extra_0prime_to_1,900,001,2,0.35,1218.4896149635315,1218.4896178245544,-2.86102294921875e-06,13,0.634,4204.00439453125,4512.1015625,4916.697265625,134.57333374023438,125.5049819946289,152.25820922851562,756.5556030273438,769.4523315429688,622.3059692382812,1198.399658203125,777.71337890625,504.20526123046875,239.04283142089844,206.15052795410156,152.43765258789062,224.43092346191406
extra_0prime_to_1,900,001,2,0.4,1219.534203529358,1219.5342054367065,-1.9073486328125e-06,13,0.626,4206.30859375,4513.982421875,4918.32373046875,139.98663330078125,129.1413116455078,155.79310607910156,748.5654907226562,760.3538818359375,614.7652587890625,1195.20458984375,781.107666015625,508.0546875,242.69931030273438,217.68887329101562,159.3390655517578,221.232666015625
extra_0prime_to_1,900,001,2,0.45,1220.2289123535156,1220.2289142608643,-1.9073486328125e-06,13,0.629,4204.23876953125,4510.99755859375,4916.3544921875,142.0295867919922,131.05859375,158.044921875,742.5653686523438,753.293212890625,608.5979614257812,1193.188720703125,782.2291259765625,509.50506591796875,244.35464477539062,233.67039489746094,170.89991760253906,222.63429260253906
extra_0prime_to_1,900,001,2,0.475,1219.9090480804443,1219.9090423583984,5.7220458984375e-06,13,0.561,4202.2958984375,4508.75146484375,4914.20556640625,142.26519775390625,131.55868530273438,158.84483337402344,740.742431640625,751.1079711914062,606.6884765625,1192.8094482421875,782.3418579101562,509.23883056640625,244.23629760742188,238.0971221923828,172.68899536132812,222.67160034179688
extra_0prime_to_1,900,001,2,0.5,1218.973427772522,1218.9734354019165,-7.62939453125e-06,13,0.639,4200.95947265625,4507.099609375,4911.71630859375,142.2436981201172,131.68324279785156,159.19009399414062,739.8687133789062,750.08349609375,605.8554077148438,1192.8277587890625,781.7666625976562,508.481201171875,243.96473693847656,237.7440643310547,168.45831298828125,221.63218688964844
extra_0prime_to_1,900,001,2,0.525,1217.7490797042847,1217.7490816116333,-1.9073486328125e-06,13,0.563,4198.38330078125,4504.30322265625,4907.998046875,142.00845336914062,131.3762664794922,159.08660888671875,740.0325317382812,750.2080688476562,606.31298828125,1193.318115234375,780.7030639648438,507.0214538574219,243.35687255859375,235.7849884033203,162.4679718017578,221.62335205078125
extra_0prime_to_1,900,001,2,0.55,1216.731146812439,1216.7311382293701,8.58306884765625e-06,13,0.63,4195.466796875,4501.4501953125,4904.5322265625,141.9558868408203,130.8787841796875,158.42572021484375,740.5645751953125,750.4119873046875,607.3040161132812,1193.9808349609375,779.40087890625,505.0365295410156,243.02659606933594,233.4486541748047,160.46188354492188,221.35264587402344
extra_0prime_to_1,900,001,2,0.6,1215.5348634719849,1215.5348634719849,0.0,13,0.626,4189.74658203125,4496.9658203125,4898.27294921875,142.29412841796875,130.600830078125,157.59426879882812,740.9320068359375,749.4528198242188,607.5011596679688,1195.72509765625,777.2388916015625,501.65771484375,243.0185089111328,234.21461486816406,164.0874481201172,219.25497436523438
extra_0prime_to_1,900,001,2,0.65,1214.3190622329712,1214.3190670013428,-4.76837158203125e-06,13,0.638,4183.494140625,4492.96044921875,4892.001953125,140.98648071289062,129.8095703125,156.1053924560547,742.4505615234375,749.3124389648438,607.5648193359375,1198.12939453125,773.891357421875,498.45587158203125,242.7499542236328,236.71060180664062,167.6975555419922,216.78453063964844
extra_0prime_to_1,900,001,2,0.7,1212.605050086975,1212.6050462722778,3.814697265625e-06,13,0.623,4174.9267578125,4488.0361328125,4885.1259765625,137.40521240234375,127.03150939941406,152.57684326171875,745.9136962890625,750.8175659179688,609.603271484375,1200.427978515625,771.2411499023438,494.58245849609375,240.4396514892578,238.3388214111328,169.10678100585938,216.10693359375
extra_0prime_to_1,900,001,2,0.75,1210.7903790473938,1210.7903776168823,1.430511474609375e-06,13,0.636,4161.87646484375,4481.16748046875,4877.4208984375,134.01100158691406,123.97552490234375,149.1759490966797,750.0582275390625,753.2890625,612.3690185546875,1201.9710693359375,769.6256103515625,489.6817321777344,236.7349395751953,240.28001403808594,171.28414916992188,219.7248992919922
extra_0prime_to_1,900,001,2,0.8,1207.6134462356567,1207.6134495735168,-3.337860107421875e-06,13,0.63,4142.9921875,4471.322265625,4867.181640625,131.26260375976562,121.69066619873047,146.97628784179688,754.3404541015625,756.6079711914062,615.7990112304688,1203.6197509765625,765.5001831054688,482.73712158203125,231.77694702148438,234.33058166503906,170.44374084472656,225.23377990722656
